START_DATE,END_DATE,PERIOD,PROGRAM_ID (FK),STUDENT_ID (FK),UNIVERSITY_ID (FK),CAMPUS_ID (FK),GRANT_TYPE,AWARDED,FORMS_RECEIVED,YEAR_UNDERTAKEN,UWA_BUSINESS_UNIT,PAYMENT_DATE,PAYMENT_AMOUNT,UWA_ACCOUNT_NUMBER,FUNDING_ROUND,DESCRIPTION
28/02/2018,27/05/2018,Semester 1 ,1,1,1,1,Mobility,yes,yes,2018,99910,22/01/2019,6000,672,2019,WADE 2019 FLIP NCP GRANT
28/02/2018,27/05/2018,Semester 1,1,8,1,1,Mobility,yes,yes,2018,99910,22/01/2019,5000,672,2018,DOE 2018 DSPP NCP GRANT
28/02/2018,27/05/2018,Semester 1,1,9,4,4,Mobility,no,yes,2018,99910,10/01/2018,2000,672,2018,SIMPSON 2018 ASP NCP GRANT
25/07/2018,12/11/2018,Semester 2,1,11,6,6,Mobility,yes,yes,2018,99910,17/08/2020,2500,672,2020,SMITH 2020 ILSC NCP GRANT
25/07/2019,12/11/2019,Semester 2,1,7,5,5,Mobility,yes,yes,2019,99910,15/01/2018,2000,672,2018,NEALE 2018 JPP NCP GRANT
25/07/2019,12/11/2019,Semester 2,1,13,2,1,Mobility,no,no,2019,99910,18/10/2021,1500,672,2021,DOE 2021 ILSC NCP GRANT
25/07/2019,12/11/2019,Semester 2,1,15,1,1,Mobility,yes,yes,2019,99910,15/08/2019,1500,672,2019,ALDAM 2019 LPP NCP GRANT
25/07/2020,12/11/2020,Semester 2,1,10,4,3,Mobility,no,no,2020,99910,22/06/2022,1000,672,2020,NEALE 2020 FLIP NCP GRANT
25/07/2020,12/11/2020,Semester 2,1,12,1,1,Mobility,yes,yes,2020,99910,27/07/2019,2000,672,2019,SMITH 2020 ILSC NCP GRANT
25/07/2020,12/11/2020,Semester 2,1,14,5,5,Mobility,no,yes,2020,99910,23/03/2018,2000,672,2018,WADE 2019 FLIP NCP GRANT
3/01/2018,6/02/2018,Summer ,2,6,2,1,Mobility,yes,yes,2018,99910,3/02/2018,2000,672,2018,WILKINSON 2019 ASP NCP GRANT
28/02/2018,27/05/2018,Semester 1,3,60,6,6,Mobility,yes,yes,2018,99910,6/09/2020,2000,672,2020,HIRST 2018 ASP NCP GRANT
28/02/2018,27/05/2018,Semester 1,3,63,5,5,Mobility,yes,yes,2018,99910,13/07/2018,2000,672,2018,BURKS 2018 ASP NCP GRANT
25/07/2018,12/11/2018,Semester 2,3,61,1,1,Mobility,no,yes,2018,99910,12/09/2021,2000,672,2021,COLLIER 2020 ASP NCP GRANT
25/07/2018,12/11/2018,Semester 2,3,68,1,1,Mobility,yes,yes,2018,99910,16/09/2019,2000,672,2019,JACOBSON 2018 ASP NCP GRANT
28/02/2019,27/05/2019,Semester 1,3,67,6,6,Internship,yes,yes,2019,99910,31/07/2020,2000,672,2020,LANG 2021 ASP NCP GRANT
