STUDENT_ID (FK),PROGRAM_ID (FK),UWA_BUSINESS_UNIT,PAYMENT_DATE,PAYMENT_AMOUNT,UWA_ACCOUNT_NUMBER,FUNDING_ROUND,DESCRIPTION
2,4,99910,22/1/2019,6000,672,2019,WADE 2019 FLIP NCP GRANT
3,3,99910,22/1/2019,5000,672,2018,DOE 2018 DSPP NCP GRANT
1,1,99910,10/1/2018,2000,672,2018,SIMPSON 2018 ASP NCP GRANT
4,6,99910,17/8/2020,2500,672,2020,SMITH 2020 ILSC NCP GRANT
6,2,99910,15/1/2018,2000,672,2018,NEALE 2018 JPP NCP GRANT
3,8,99910,18/10/2021,1500,672,2021,DOE 2021 ILSC NCP GRANT
5,5,99910,15/8/2019,1500,672,2019,ALDAM 2019 LPP NCP GRANT
6,7,99910,22/6/2022,1000,672,2020,NEALE 2020 FLIP NCP GRANT
7,1,99910,27/7/2019,2000,672,2019,SMITH 2020 ILSC NCP GRANT
8,1,99910,23/3/2018,2000,672,2018,WADE 2019 FLIP NCP GRANT
9,1,99910,3/2/2018,2000,672,2018,WILKINSON 2019 ASP NCP GRANT
10,1,99910,6/9/2020,2000,672,2020,HIRST 2018 ASP NCP GRANT
11,1,99910,13/7/2018,2000,672,2018,BURKS 2018 ASP NCP GRANT
12,1,99910,12/9/2021,2000,672,2021,COLLIER 2020 ASP NCP GRANT
13,1,99910,16/9/2019,2000,672,2019,JACOBSON 2018 ASP NCP GRANT
14,1,99910,31/7/2020,2000,672,2020,LANG 2021 ASP NCP GRANT
15,1,99910,31/12/2019,2000,672,2019,COOLEY 2019 ASP NCP GRANT
60,3,99910,22/4/2018,5000,672,2018,AVALOS 2020 DSPP NCP GRANT
61,3,99910,10/9/2018,5000,672,2018,PHILIP 2018 DSPP NCP GRANT
62,3,99910,9/4/2020,5000,672,2020,HORNE 2021 DSPP NCP GRANT
63,3,99910,13/1/2018,5000,672,2018,SCHOFIELD 2019 DSPP NCP GRANT
64,3,99910,10/8/2021,5000,672,2021,SUTHERLAND 2020 DSPP NCP GRANT
65,3,99910,16/1/2019,5000,672,2019,ASHTON 2019 DSPP NCP GRANT
66,3,99910,8/12/2020,5000,672,2020,JEFFERSON 2018 DSPP NCP GRANT
67,3,99910,21/4/2019,5000,672,2019,HOUSTON 2018 DSPP NCP GRANT
68,3,99910,8/10/2018,5000,672,2018,HAINES 2020 DSPP NCP GRANT
115,4,99910,9/10/2018,6000,672,2018,EASTWOOD 2018 FLIP NCP GRANT
116,4,99910,27/12/2020,6000,672,2020,DAVENPORT 2020 FLIP NCP GRANT
117,4,99910,20/7/2018,6000,672,2018,SUMNER 2018 FLIP NCP GRANT
118,4,99910,11/7/2021,6000,672,2021,FINNEGAN 2021 FLIP NCP GRANT
119,4,99910,30/3/2019,6000,672,2019,HOUSE 2019 FLIP NCP GRANT
120,4,99910,20/6/2020,6000,672,2020,CLEMONS 2020 FLIP NCP GRANT
121,4,99910,27/9/2019,6000,672,2019,MCCULLOUGH 2019 FLIP NCP GRANT
122,4,99910,4/9/2018,6000,672,2018,BURRIS 2018 FLIP NCP GRANT
140,8,99910,4/10/2018,1500,672,2018,REYNOLDS 2020 ILSC NCP GRANT
141,8,99910,2/4/2020,1500,672,2020,SNYDER 2018 ILSC NCP GRANT
142,8,99910,21/10/2018,1500,672,2018,ROWLAND 2021 ILSC NCP GRANT
143,8,99910,2/5/2021,1500,672,2021,NORTH 2019 ILSC NCP GRANT
144,8,99910,9/5/2019,1500,672,2019,MAC 2020 ILSC NCP GRANT
145,8,99910,22/2/2020,1500,672,2020,NORRIS 2019 ILSC NCP GRANT
146,8,99910,22/1/2019,1500,672,2019,STANLEY 2018 ILSC NCP GRANT
147,8,99910,28/8/2018,1500,672,2018,MADDOX 2018 ILSC NCP GRANT
