UNIVERSITY_ID (FK),CAMPUS_ID (FK),STUDENT_NUMBER,TITLE,FIRST_NAME,PREFERRED_NAME,LAST_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,POSTCODE,STATE,COUNTRY,DATE_OF_BIRTH,PHONE_NUMBER,STUDENT_EMAIL,GENDER,BSB,ACCOUNT_NUMBER,FIELD_OF_STUDY_CODE,COUNTRY_OF_BIRTH,INDIGENOUS_AUSTRALIAN,DISABILITY,AUS_CITIZEN,CITIZENS_PR,NOTES
1,1,22344570,Mr,Homerson,Homer,Simpson,23 Shake Drive,null,Yanchep,6030,WA,Australia,17/07/2001,427363018,22344570@student.uwa.edu.au,Male,16343,488368226,Bachelor of Commerce,Australia,null,null,yes,0,null
4,4,37281902,Mrs,Georgia,null,Wade,39 Loose Road,null,Shenton Park,6016,WA,Australia,12/03/2000,423829013,37281902@student.curtin.edu.au,Female,49223,483940053,Bachelor of Science,Australia,null,no,yes,0,null
4,3,22237829,Mrs,Jane,null,Doe,9 Sky Lane,null,Balcatta,6002,WA,Australia,19/08/2002,492019219,22237829@student.curtin.edu.au,Female,38293,462937229,Bachelor of Philosophy,England,yes,yes,no,0,null
6,6,42890192,Mr ,John,null,Smith,17 Bone Circuit,null,Canning Vale,6032,WA,Australia,12/01/2000,420737818,42890192@student.deakin.edu.au,Male,27189,382930272,Bachelor of Law,New Zealand,no,no,yes,1,null
1,1,27382012,Mrs,Daisy,null,Aldam,23 Clever Lane,null,Woodlands,6022,WA,Australia,27/03/1998,438929012,27382012@student.uwa.edu.au,Female,38912,389200932,Bachelor of Arts,Australia,no,null,yes,0,Peanut allergy
2,2,37891023,Mr,William,Bill,Neale,45 Industry Road,null,Footscray,3045,VIC,Australia,21/09/2000,459490203,37891023@student.unsw.edu.au,Male,48930,482929302,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,45930904,Mr,Robert,Rob,Bontempelli,16 Flag Drive,null,Mooloolaba,4236,QLD,Australia,3/10/1998,437820102,45930904@student.usc.edu.au,Male,84920,376483020,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,35390720,Mrs,Giovanni,Giovanni,Parry,423 Fahey Meadow,null,Abington,2148,QLD,Australia,9/12/1995,454517864,35390720@student.uwa.edu.au,Male,29179,389733795,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,42211655,Mrs,Conna,Conna,Wilkinson,06 Goldner Terrace,null,Lake Wellington,2208,VIC,Australia,16/03/2001,435346417,42211655@student.curtin.edu.au,Female,32815,455950954,Bachelor of Science,Australia,null,no,yes,1,null
4,3,25301694,Mrs,Ariadne,Ariadne,Hirst,23 Adam Avenue,null,Lucaston,2304,TAS,Australia,25/11/2002,482231205,25301694@student.curtin.edu.au,Female,34619,437907614,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,29386460,Mrs,Ahyan,Ahyan,Burks,33 Alana Manor,null,Wuruma Dam,2329,QLD,Australia,27/02/1999,457393183,29386460@student.deakin.edu.au,Male,20707,368331795,Bachelor of Law,Australia,no,no,yes,1,null
1,1,42932812,Mrs,Caelan,Caelan,Collier,9176 Bogan Lane,null,Slacks Creek,2440,QLD,Australia,18/08/1995,487609714,42932812@student.uwa.edu.au,Female,30348,350450560,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,33011750,Mrs,Musa,Musa,Jacobson,4861 Jones Manor,null,St Marys,2480,NSW,Australia,21/09/1999,435095179,33011750@student.unsw.edu.au,Male,41189,477390964,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,33008740,Mr ,Filip,null,Lang,1595 Green Lane,null,Wigton,2484,QLD,Australia,26/12/2001,480348128,33008740@student.usc.edu.au,Male,43259,496216159,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,45660765,Mrs,Tessa,Tessa,Cooley,4704 Holly Trail,null,Botobolar,2535,NSW,Australia,28/01/1999,436064050,45660765@student.uwa.edu.au,Male,23889,395168178,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,46139596,Mr,Elena,null,Travers,9190 Gemma Square,null,Bara,2642,NSW,Australia,6/12/1999,443489294,46139596@student.curtin.edu.au,Female,35335,385279032,Bachelor of Science,Australia,null,no,yes,1,null
4,3,44506239,Mrs,Shazia,null,Reeve,391 Ali Parkway,null,Tinnanbar,2646,QLD,Australia,21/08/2001,434335665,44506239@student.curtin.edu.au,Female,43564,364897886,Bachelor of Philosophy,Australia,yes,yes,no,0,null
6,6,37968446,Mrs,Jamie,null,Wright,0979 Hickle Avenue,null,Gawler Belt,2663,SA,Australia,2/03/1999,489017175,37968446@student.deakin.edu.au,Male,45978,395089469,Bachelor of Law,Australia,no,no,yes,1,null
1,1,48008083,Mr ,Renesmae,null,Huffman,463 Moss Parkway,null,Bolgart,2752,WA,Australia,16/11/1999,431580799,48008083@student.uwa.edu.au,Female,47515,410057746,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,32570080,Mrs,Mahad,null,Reilly,553 Paterson Lane,null,Jacup,2760,WA,Australia,14/03/1999,448366655,32570080@student.unsw.edu.au,Male,26467,402068571,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,33130831,Mrs,Gerald,Gerald,Robertson,355 Jasmine Terrace,null,Lagoon Grass,2765,NSW,Australia,1/01/1996,435251354,33130831@student.usc.edu.au,Male,27935,420562006,Bachelor of Commerce,Australia,yes,no,yes,1,null
1,1,31552877,Mrs,Nick,Nick,Gibbons,46 Douglas Station St,null,Trundle,2830,NSW,Australia,4/02/1998,456078691,31552877@student.uwa.edu.au,Male,26361,473103304,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,28948668,Mr ,Grant,Grant,Briggs,37 Owen Track,null,Postans,2830,WA,Australia,11/07/1997,469378918,28948668@student.curtin.edu.au,Female,19875,353406907,Bachelor of Science,Australia,null,no,yes,0,null
4,3,24248570,Mrs,Lesley,Lesley,Alford,420 Mitchell Road,null,Lake Jasper,2850,WA,Australia,2/03/1997,477810822,24248570@student.curtin.edu.au,Female,42500,455234703,Bachelor of Philosophy,Australia,yes,yes,no,1,null
